Time (s),Velocity (m/s),Mass (kg)
393.8250696659088,2749.498583193549,5324.77734375
393.94906783103943,2751.7746514588744,5321.25634765625
394.06306767463684,2754.0519870420044,5317.73583984375
394.16566276550293,2755.9507355935584,5314.80224609375
394.2866621017456,2758.2303974508754,5311.28125
394.40766286849976,2760.511329950408,5307.76025390625
394.5276620388031,2762.7935335944676,5304.2392578125
394.6476628780365,2765.0770100497966,5300.71875
394.7676622867584,2767.3617601273177,5297.19775390625
394.8806622028351,2769.64778521095,5293.6767578125
395.0081799030304,2771.935086163025,5290.15625
395.1221730709076,2774.22366427148,5286.63525390625
395.2301733493805,2776.1317889762536,5283.701171875
395.3451814651489,2778.4227113792554,5280.1806640625
395.46897411346436,2780.7149139114426,5276.65966796875
395.5829744338989,2783.0083981356697,5273.138671875
395.70897579193115,2785.303164869595,5269.61865234375
395.82097578048706,2787.5992152421854,5266.09765625
395.92397570610046,2789.5135720849853,5263.16357421875
396.0479760169983,2791.8119790868354,5259.642578125
396.15988755226135,2794.111673271697,5256.1220703125
396.2888867855072,2796.412655651184,5252.60107421875
396.4038872718811,2798.7149275326537,5249.080078125
396.5101246833801,2800.634473081689,5246.14599609375
396.62312483787537,2802.939112016731,5242.625
396.72709941864014,2804.860632153248,5239.69091796875
396.8431010246277,2807.167642018109,5236.1708984375
396.9461009502411,2809.0911396444735,5233.23681640625
397.06910037994385,2811.400524848178,5229.7158203125
397.1871008872986,2813.7112074617444,5226.1953125
397.29011273384094,2815.6377680052137,5223.2607421875
397.40510082244873,2817.9508319966676,5219.740234375
397.5101013183594,2819.879378967182,5216.80615234375
397.62709975242615,2822.1948287177374,5213.28515625
397.74410033226013,2824.5115815099425,5209.76416015625
397.8461010456085,2826.443205126809,5206.83056640625
397.9601013660431,2828.7623497765253,5203.31005859375
398.0621004104614,2830.695968399095,5200.3759765625
398.18810081481934,2833.0175096427715,5196.85498046875
398.30810141563416,2835.3403597020642,5193.333984375
398.42310070991516,2837.6645200782723,5189.8134765625
398.5277416706085,2839.602322082241,5186.87939453125
398.6487419605255,2841.9288879316405,5183.3583984375
398.76874136924744,2844.2567674593884,5179.83740234375
398.881742477417,2846.585962053874,5176.31689453125
399.0073432922363,2848.916473395635,5172.79638671875
399.1223428249359,2851.248302418722,5169.275390625
399.2253429889679,2853.1925009543156,5166.34130859375
399.32834243774414,2855.1376162268075,5163.4072265625
399.4313454627991,2857.083648852439,5160.47314453125
